;0;1
S2;2.365530085948231;0.8229021584975262
S3;0.8787558808864186;1.0
S5;1.911443778677393;1.0
S6;1.706743315402686;0.8490158297195066
S7;1.4971207166181013;0.7281031166652765
S10;1.537213945636877;0.7776127604015283
S11;1.8701357023692708;1.0
S13;1.7376775289423319;1.0
S14;1.809734852611032;0.901508402013383
S16;1.3406932812210186;1.0
S18;-3.797405371682644;0.9087173711348597
S19;1.9114239754470586;0.7018614526449461
S20;1.483609441107425;0.999321297805798
S22;1.9320396982992738;0.8454216022313105
S24;2.6896736655007936;0.8474286587452362
